name,year,city,state,country,image,description
Bayerische Staatsbrauerei Weihenstephan,1040,Freising,"",Germany,weihen2.jpg,"The Bavarian State Brewery Weihenstephan, founded in 1040, is the oldest existing brewery in the world. As directed by operation of Bavaria it is run as a modern company, which brews beers of the highest quality and successfully sells worldwide in over 40 countries. The unique combination of tradition and science gives the brewer the quality standard 'premium bavaricum' and national and international awards for their 'Weihenstephan beers.'"
Bear Republic Brewing Company,1995,Healdsburg,CA,United States,bear2.png,"Bear Republic was established by the Norgrove family in 1995, with Richard G. Norgrove as brewmaster. The name is said to refer to California's 1846 Bear Flag Revolt. In 2006, Bear was named Small Brewing Company and Small Brewing Company Brewer of the Year at the Great American Beer Festival. Bear's best-selling product is Racer 5, an India Pale Ale which accounted for about three-quarters of the company's 2009 sales."
Boulevard Brewing Company,1989,Kansas City,MO,United States,boulevard2.png,"Boulevard began in 1988 when founder John McDonald started construction of the brewery in a turn-of-the-century brick building on Kansas City’s historic Southwest Boulevard. A vintage Bavarian brewhouse was installed with used equipment from a closed brewery in Bavaria, Germany, and the first batches of beer were produced in the fall of 1989. Based on the historic example set by the local and regional breweries that were once common throughout the United States prior to Prohibition, the brewery has a focus on providing locally-brewed beer for the Kansas City region."
Brasserie d'Achouffe,1982,Achouffe,"",Belgium,achouffe3.jpg,"Towards the end of the 1970s, Pierre Gobron and Christian Bauweraerts decided to create their own beer in their own brewery. With initially only a small amount of money available to them, they started out on what the fans of the brewery call the ‘Chouffe story’. At the beginning its founders thought of it as a hobby, but the brewery developed at such a rate that, one by one, they decided to devote themselves to the adventure full-time."
Brewery Ommegang,1997,Cooperstown,NY,United States,ommegang2.jpg,"Ommegang began brewing Belgian-style ales in 1997. Founded by Don Feinberg and Wendy Littlefield, owners of Vanberg & DeWulf beer import company, and three family owned Belgian breweries including Duvel Moortgat. Ommegang started up in a purpose-built building based on a traditional Belgian farmhouse, set on a former 136-acre hop farm in the Susqehanna River Valley, four miles south of Cooperstown, New York in the Town of Milford."
Brouwerij Duvel Moortgat,1871,Breendonk-Puurs,"",Belgium,duvel3.jpg,"The Duvel Moortgat group, founded in 1871, is an independent producer of authentic speciality beers and premium brands. Around the world, the group is considered to be the leading producer of blond, bottle conditioned, high fermentation beers, a dominant position owed largely to the success of its best-selling product Duvel. A niche player, Duvel Moortgat occupies a leading position in the strategic segments of speciality beers and premium brands like Duvel, Maredsous, Bel Pils and Vedett."
Dogfish Head Brewery,1995,Milton,DE,United States,dogfish3.gif,"Dogfish Head Brewery opened in 1995 and produces 175,000 barrels of beer annually. It has been a rapidly growing brewery – it grew nearly 400% between 2003 and 2006. The brewery was featured prominently in the documentary Beer Wars and was the subject of the Discovery Channel series Brew Masters, which premiered Sunday, November 21, 2010. The brewery takes its name from Dogfish Head, Maine where Calagione spent summers as a child."
Jack's Abby Brewing,2011,Framingham,MA,United States,jacksabby2.png,"Jack's Abby Brewing was formally founded in January of 2011 by three brothers, Jack, Eric and Sam Hendler, who grew up in a family business. The ideas behind it, however, date back over ten years to when Jack was still in college experimenting with home brews. After graduating, Jack became the head brewer of one of the largest brewpubs in the eastern US. He earned joint diplomas in Brewing Technology from Siebel Institute of Chicago and Doemans Academy of Munich. Currently he is a member of the Master Brewers Association."
Jolly Pumpkin Artisan Ales,2004,Dexter,MI,United States,jolly.png,"Jolly Pumpkin was founded by Ron Jeffries in 2004. It operates two pubs, one in Ann Arbor and the other in Traverse City. Jolly Pumpkin produces a variety of unfiltered and unpasteurized 'rustic country' beers. Jolly Pumpkin ages their beers in wine barrels which contain naturally occurring microbiological cultures including brettanomyces."
Left Hand Brewing Company,1993,Longmont,CO,United States,lefthand2.png,"Left Hand began in December 1990 with a homebrewing kit founder Dick Doore received from his brother. According to Dick, 'it was all downhill from there.' By 1993, Dick had teamed up with college buddy Eric Wallace and they resolved to start a brewery. On September 21, 1993, they incorporated as Indian Peaks Brewing Company, and purchased a former meat-packing plant next to the St. Vrain River outside downtown Longmont, Colorado."
